"","param","slope_Miro","intercept_Miro","slope_pval_Miro","intercept_pval_Miro","slope_stdErr_Miro","intercept_stdErr_Miro","NA"
"1","SID1000MEAN.m3.",-1214905.99274109,3349563007.1473,0.0842279073658904,0.0211804063625256,695918.514163672,1428146989.85005,"SID1000MEAN.m3."
"2","SID1001MEAN.m3.",-1141857.02809669,3146566062.65654,0.0873005853888548,0.0225239207299838,660627.719897432,1355724083.1807,"SID1001MEAN.m3."
"3","SID1002MEAN.m3.",-3131160.11606037,8614715785.11859,0.0896074864088249,0.0237185649287589,1824932.73549636,3745082419.61355,"SID1002MEAN.m3."
"4","SID1003MEAN.m3.",-2464222.49010433,6605652022.97703,0.0846307800329374,0.0251071260107427,1413409.85205522,2900565202.03792,"SID1003MEAN.m3."
"5","SID1004MEAN.m3.",-785208.355422509,2098982014.74949,0.0673232835555134,0.0178766413476428,424065.553934405,870256979.839567,"SID1004MEAN.m3."
"6","SID1005MEAN.m3.",-776949.62898246,2123258424.47961,0.0879931316879439,0.023936386786945,450507.746425645,924521001.909425,"SID1005MEAN.m3."
"7","SID1006MEAN.m3.",-1008555.65872538,2717572834.83721,0.0750878588663028,0.0201991823311303,560139.498748614,1149504608.30218,"SID1006MEAN.m3."
"8","SID1007MEAN.m3.",-815852.614512761,2199288940.94732,0.0781017687573822,0.0214346820686723,457856.225103844,939601370.502375,"SID1007MEAN.m3."
"9","SID1008MEAN.m3.",-2404384.25531409,6482406158.41634,0.0831078905393678,0.0236179011076761,1372208.58145672,2816012960.09338,"SID1008MEAN.m3."
"10","SID1009MEAN.m3.",-1428246.5741271,3911640691.88291,0.0923376264702901,0.0255531154344823,839598.120003437,1723002770.24196,"SID1009MEAN.m3."
"11","SID1010MEAN.m3.",-2505021.25862949,6789549407.03226,0.0888663962167399,0.0254797884274245,1456568.75292599,2989134845.04834,"SID1010MEAN.m3."
"12","SID1011MEAN.m3.",-952320.46755072,2594756859.314,0.0805474669200872,0.0211315952704403,538887.083541216,1105890920.51007,"SID1011MEAN.m3."
"13","SID1012MEAN.m3.",-1290388.58362359,3439559233.91831,0.0700603473296978,0.0193528532317031,703945.594143314,1444619967.47156,"SID1012MEAN.m3."
"14","SID1013MEAN.m3.",-773700.885693859,2059294229.55393,0.0726370787602891,0.0206446239533709,426006.845317129,874240850.635116,"SID1013MEAN.m3."
"15","SID1014MEAN.m3.",-2465794.98119478,6528924127.24482,0.0749503973975681,0.0223382865560187,1368814.70926011,2809048138.40394,"SID1014MEAN.m3."
"16","SIDALLMEAN.m3.",-23158571.4645908,62661731025.5624,0.0810321245797145,0.022226455213051,13125988.7951245,26936833846.2595,"SIDALLMEAN.m3."
